अ,ə
विलज्ज,ʋ ɪ - l ə d͡ʒ d͡ʒ
विलय,ʋ ɪ - l ə j
विलयन,ʋ ɪ - l ə j ə n
विलसन,ʋ ɪ - l ə s ə n
विलाप,ʋ ɪ - l ɑː p
विलापी,ʋ ɪ - l ɑː p iː
विलायत,ʋ ɪ l ɑː j ə t̪
विलायती,ʋ ɪ l ɑː j ə t̪ iː
विलायतीपन,ʋ ɪ l ɑː j ə t̪ iː p ə n
विलास,ʋ ɪ - l ɑː s
विलास-,ʋ ɪ - l ɑː s -
विलासिता,ʋ ɪ - l ɑː s ɪ t̪ ɑː
विलासी,ʋ ɪ - l ɑː s iː
विलुलित,ʋ ɪ - l ʊ l ɪ t̪
विलोकन,ʋ ɪ - l oː k ə n
विलोकनीय,ʋ ɪ - l oː k ə n iː j ə
विलोकित,ʋ ɪ - l oː k ɪ t̪
विलोचन,ʋ ɪ - l oː t͡ʃ ə n
विलोड़न,ʋ ɪ - l oː ɽ ə n
विलोड़ित,ʋ ɪ - l oː ɽ ɪ t̪
विलोभ,ʋ ɪ - l oː bʱ
विलोभन,ʋ ɪ - l oː bʱ ə n
विलोम,ʋ ɪ - l oː m
विल्व,ʋ ɪ l ʋ ə
विवक्षा,ʋ ɪ - ʋ ə k ʃ ɑː
विवक्षित,ʋ ɪ - ʋ ə k ʃ ɪ t̪
विवक्षिता,ʋ ɪ - ʋ ə k ʃ ɪ t̪ ɑː
विवर,ʋ ɪ - ʋ ə ɾ
विवरण,ʋ ɪ - ʋ ə ɾ ə n
विवरणिका,ʋ ɪ - ʋ ə ɾ ə n ɪ k ɑː
विवरणी,ʋ ɪ - ʋ ə ɾ ə n iː
विवर्जन,ʋ ɪ - ʋ ə ɾ d͡ʒ ə n
विवर्ण,ʋ ɪ - ʋ ə ɾ n
विवर्त,ʋ ɪ - ʋ ə ɾ t̪
विवर्तन,ʋ ɪ - ʋ ə ɾ t̪ ə n
विवर्धन,ʋ ɪ - ʋ ə ɾ d̪ʱ ə n
विवर्धित,ʋ ɪ - ʋ ə ɾ d̪ʱ ɪ t̪
विवश,ʋ ɪ - ʋ ə ʃ
विवशता,ʋ ɪ - ʋ ə ʃ ə t̪ ɑː
विवसन,ʋ ɪ - ʋ ə s ə n
विवस्त्र,ʋ ɪ - ʋ ə s t̪ ɾ ə
विवस्वत्,ʋ ɪ - ʋ ə s ʋ ə t̪
विवाक,ʋ ɪ - ʋ ɑː k
विवाकी,ʋ ɪ - ʋ ɑː k iː
विवाचक,ʋ ɪ - ʋ ɑː t͡ʃ ə k
विवाचन,ʋ ɪ - ʋ ɑː t͡ʃ ə n
विवाद,ʋ ɪ - ʋ ɑː d̪
विवादित,ʋ ɪ - ʋ ɑː d̪ ɪ t̪
विवादी,ʋ ɪ - ʋ ɑː d̪ iː
विवाह,ʋ ɪ - ʋ ɑː ɦ
विवाहना,ʋ ɪ - ʋ ɑː ɦ n ɑː
विवाहित,ʋ ɪ - ʋ ɑː ɦ ɪ t̪
विवाह्य,ʋ ɪ - ʋ ɑː ɦ j ə
विविक्त,ʋ ɪ - ʋ ɪ k t̪
विविक्ति,ʋ ɪ - ʋ ɪ k t̪ ɪ
विविध,ʋ ɪ - ʋ ɪ d̪ʱ
विविधता,ʋ ɪ - ʋ ɪ d̪ʱ ə t̪ ɑː
विवेक,ʋ ɪ - ʋ eː k
विवेकी,ʋ ɪ - ʋ eː k iː
विवेचक,ʋ ɪ - ʋ eː t͡ʃ ə k
विवेचन,ʋ ɪ - ʋ eː t͡ʃ ə n
विवेचना,ʋ ɪ - ʋ eː t͡ʃ ə n ɑː
विवेचनीय,ʋ ɪ - ʋ eː t͡ʃ ə n iː j ə
विवेचित,ʋ ɪ - ʋ eː t͡ʃ ɪ t̪
विवेच्य,ʋ ɪ - ʋ eː t͡ʃ j ə
विशद,ʋ ɪ - ʃ ə d̪
विशाखा,ʋ ɪ - ʃ ɑː kʰ ɑː
विशारद,ʋ ɪ - ʃ ɑː ɾ ə d̪
विशाल,ʋ ɪ ʃ ɑː l
विशालता,ʋ ɪ ʃ ɑː l ə t̪ ɑː
विशिख,ʋ ɪ - ʃ ɪ kʰ
विशिष्ट,ʋ ɪ - ʃ ɪ ʃ ʈ
विशिष्टता,ʋ ɪ - ʃ ɪ ʃ ʈ ə t̪ ɑː
विशृंखल,ʋ ɪ - ʃ ɾ ɪ ~ kʰ ə l
विशेष,ʋ ɪ - ʃ eː ʃ
विशेषक,ʋ ɪ - ʃ eː ʃ ə k
विशेषण,ʋ ɪ - ʃ eː ʃ ə n
विशेषता,ʋ ɪ - ʃ eː ʃ ə t̪ ɑː
विशेषित,ʋ ɪ - ʃ eː ʃ ɪ t̪
विशेषीकरण,ʋ ɪ - ʃ eː ʃ iː k ə ɾ ə n
विशेषीकृत,ʋ ɪ - ʃ eː ʃ iː k ɾ ɪ t̪
विशेष्य,ʋ ɪ - ʃ eː ʃ j ə
विश्रंभ,ʋ ɪ - ʃ ɾ ə m bʱ
विश्रब्ध,ʋ ɪ - ʃ ɾ ə b d̪ʱ
विश्रांत,ʋ ɪ - ʃ ɾ ɑː n t̪
विश्रांति,ʋ ɪ - ʃ ɾ ɑː n t̪ ɪ
विश्राम,ʋ ɪ - ʃ ɾ ɑː m
विश्लिष्ट,ʋ ɪ - ʃ l ɪ ʃ ʈ
विश्लेष,ʋ ɪ - ʃ l eː ʃ
विश्लेषक,ʋ ɪ - ʃ l eː ʃ ə k
विश्लेषण,ʋ ɪ - ʃ l eː ʃ ə n
विश्लेषित,ʋ ɪ - ʃ l eː ʃ ɪ t̪
विश्लेष्य,ʋ ɪ - ʃ l eː ʃ j ə
विश्वंभर,ʋ ɪ ʃ ʋ ə m bʱ ə ɾ
विश्व,ʋ ɪ ʃ ʋ ə
विश्वसनीय,ʋ ɪ - ʃ ʋ ə s ə n iː j ə
विश्वसित,ʋ ɪ - ʃ ʋ ə s ɪ t̪
विश्वस्त,ʋ ɪ - ʃ ʋ ə s t̪
विश्वस्तता,ʋ ɪ - ʃ ʋ ə s t̪ ə t̪ ɑː
विश्वास,ʋ ɪ - ʃ ʋ ɑː s
विश्वासी,ʋ ɪ - ʃ ʋ ɑː s iː
विश्वास्य,ʋ ɪ - ʃ ʋ ɑː s j ə
विष,ʋ ɪ ʃ
विषण्ण,ʋ ɪ - ʃ ə n n
विषत्व,ʋ ɪ ʃ ə t̪ ʋ ə
विषम,ʋ ɪ - ʃ ə m
विषमता,ʋ ɪ - ʃ ə m ə t̪ ɑː
विषमीकरण,ʋ ɪ ʃ ə m iː k ə ɾ ə n
विषय,ʋ ɪ - ʃ ə j
-विषयक,- ʋ ɪ - ʃ ə j ə k
विषयी,ʋ ɪ - ʃ ə j iː
विषाण,ʋ ɪ ʃ ɑː n
विषाणी,ʋ ɪ ʃ ɑː n iː
विषाद,ʋ ɪ - ʃ ɑː d̪
विषादी,ʋ ɪ - ʃ ɑː d̪ iː
विषालु,ʋ ɪ ʃ ɑː l ʊ
विषुव,ʋ ɪ ʃ ʊ ʋ
विषुवद्,ʋ ɪ ʃ ʊ ʋ ə d̪
विषूचिका,ʋ ɪ - ʃ uː t͡ʃ ɪ k ɑː
विषैला,ʋ ɪ ʃ ɛː l ɑː
विषैलापन,ʋ ɪ ʃ ɛː l ɑː p ə n
विष्कंभ,ʋ ɪ - ʃ k ə m bʱ
विष्टंभ,ʋ ɪ - ʃ ʈ ə m bʱ
विष्टा,ʋ ɪ ʃ ʈ ɑː
विष्ठा,ʋ ɪ ʃ ʈʰ ɑː
विष्णु,ʋ ɪ ʃ n ʊ
विष्फारित,ʋ ɪ - ʃ pʰ ɑː ɾ ɪ t̪
विस,ʋ ɪ s
विसंक्रमण,ʋ ɪ - s ə ~ - k ɾ ə m ə n
विसंगति,ʋ ɪ - s ə ~ - g ə t̪ ɪ
विसर्ग,ʋ ɪ - s ə ɾ g
विसर्जन,ʋ ɪ - s ə ɾ d͡ʒ ə n
विसर्जित,ʋ ɪ - s ə ɾ d͡ʒ ɪ t̪
विस्तर,ʋ ɪ - s t̪ ə ɾ
विस्तरण,ʋ ɪ - s t̪ ə ɾ ə n
विस्थापित,ʋ ɪ - s t̪ʰ ɑː p ɪ t̪
विस्तार,ʋ ɪ - s t̪ ɑː ɾ
विस्तारित,ʋ ɪ - s t̪ ɑː ɾ ɪ t̪
विस्तीर्ण,ʋ ɪ - s t̪ iː ɾ n
विस्तृत,ʋ ɪ - s t̪ ɾ ɪ t̪
विस्तृति,ʋ ɪ - s t̪ ɾ ɪ t̪ ɪ
विस्पष्ट,ʋ ɪ - s p ə ʃ ʈ
विस्फारित,ʋ ɪ - s pʰ ɑː ɾ ɪ t̪
विस्फोट,ʋ ɪ - s pʰ oː ʈ
विस्फोटक,ʋ ɪ - s pʰ oː ʈ ə k
विस्फोटन,ʋ ɪ - s pʰ oː ʈ ə n
विस्फोटित,ʋ ɪ - s pʰ oː ʈ ɪ t̪
विस्मय,ʋ ɪ - s m ə j
विस्मयी,ʋ ɪ - s m ə j iː
विस्मरण,ʋ ɪ - s m ə ɾ ə n
विस्मित,ʋ ɪ - s m ɪ t̪
विस्मृत,ʋ ɪ - s m ɾ ɪ t̪
विस्मृति,ʋ ɪ - s m ɾ ɪ t̪ ɪ
विस्वर,ʋ ɪ - s ʋ ə ɾ
विस्वाद,ʋ ɪ - s ʋ ɑː d̪
विहंग,ʋ ɪ - ɦ ə ŋ g
विहंगम,ʋ ɪ - ɦ ə ŋ g ə m
विहग,ʋ ɪ - ɦ ə g
विहर-,ʋ ɪ - ɦ ə ɾ -
विहरण,ʋ ɪ - ɦ ə ɾ ə n
विहस-,ʋ ɪ - ɦ ə s -
विहसन,ʋ ɪ - ɦ ə s ə n
विहसित,ʋ ɪ - ɦ ə s ɪ t̪
विहाग,ʋ ɪ ɦ ɑː g
विहायस,ʋ ɪ - ɦ ɑː j ə s
विहायसी,ʋ ɪ - ɦ ɑː j ə s iː
विहार,ʋ ɪ - ɦ ɑː ɾ
विहारी,ʋ ɪ - ɦ ɑː ɾ iː
विहित,ʋ ɪ - ɦ ɪ t̪
विहीन,ʋ ɪ - ɦ iː n
विह्वल,ʋ ɪ - ɦ ʋ ə l
विह्वलता,ʋ ɪ - ɦ ʋ ə l ə t̪ ɑː
वीक्षण,ʋ iː k ʃ ə n
वीचि,ʋ iː t͡ʃ ɪ
वीज,ʋ iː d͡ʒ
वीजन,ʋ iː d͡ʒ ə n
वीटिका,ʋ iː ʈ ɪ k ɑː
वीणा,ʋ iː n ɑː
वीत,ʋ iː t̪
वीथि,ʋ iː t̪ʰ ɪ
वीथी,ʋ iː t̪ʰ iː
वीर,ʋ iː ɾ
वीरता,ʋ iː ɾ ə t̪ ɑː
वीरान,ʋ iː ɾ ɑː n
वीराना,ʋ iː ɾ ɑː n ɑː
वीरानी,ʋ iː ɾ ɑː n iː
वीरुध,ʋ iː ɾ ʊ d̪ʱ
वीर्य,ʋ iː ɾ j ə
वृंत,ʋ ɾ ɪ n t̪
वृक,ʋ ɾ ɪ k
वृक्ष,ʋ ɾ ɪ k ʃ
वृज-,ʋ ɾ ɪ d͡ʒ -
वृत,ʋ ɾ ɪ t̪
वृति,ʋ ɾ ɪ t̪ ɪ
वृत्त,ʋ ɾ ɪ t̪ t̪
वृत्ति,ʋ ɾ ɪ t̪ t̪ ɪ
-वृत्ती,- ʋ ɾ ɪ t̪ t̪ iː
वृथा,ʋ ɾ ɪ t̪ʰ ɑː
वृंद,ʋ ɾ ɪ n d̪
वृंदा,ʋ ɾ ɪ n d̪ ɑː
वृद्ध,ʋ ɾ ɪ d̪ d̪ʱ
वृद्धता,ʋ ɾ ɪ d̪ d̪ʱ ə t̪ ɑː
वृद्धापन,ʋ ɾ ɪ d̪ d̪ʱ ɑː p ə n
वृद्धि,ʋ ɾ ɪ d̪ d̪ʱ ɪ
वृश्चिक,ʋ ɾ ɪ ʃ t͡ʃ ɪ k
वृष,ʋ ɾ ɪ ʃ
वृषभ,ʋ ɾ ɪ ʃ ə bʱ
वृषल,ʋ ɾ ɪ ʃ ə l
वृषली,ʋ ɾ ɪ ʃ ə l iː
वृषा,ʋ ɾ ɪ ʃ ɑː
वृष्टि,ʋ ɾ ɪ ʃ ʈ ɪ
वृहत्,ʋ ɾ ɪ ɦ ə t̪
वृहस्पति,ʋ ɾ ɪ ɦ ə s p ə t̪ ɪ
वे,ʋ eː
वेग,ʋ eː g
वेगि,ʋ eː g ɪ
वेगिनी,ʋ eː g ɪ n iː
वेगी,ʋ eː g iː
वेणी,ʋ eː n iː
वेणु,ʋ eː n ʊ
वेतन,ʋ eː t̪ ə n
वेतसी,ʋ eː t̪ ə s iː
वेताल,ʋ eː t̪ ɑː l
वेत्ता,ʋ eː t̪ t̪ ɑː
वेत्र,ʋ eː t̪ ɾ
वेद,ʋ eː d̪
वेदना,ʋ eː d̪ ə n ɑː
वेदिका,ʋ eː d̪ ɪ k ɑː
वेदी,ʋ eː d̪ iː
वेदी,ʋ eː d̪ iː
वेध,ʋ eː d̪ʱ
वेधक,ʋ eː d̪ʱ ə k
वेधन,ʋ eː d̪ʱ ə n
वेधनी,ʋ eː d̪ʱ n iː
वेधनीय,ʋ eː d̪ʱ ə n iː j ə
वेधित,ʋ eː d̪ʱ ɪ t̪
-वेधी,- ʋ eː d̪ʱ iː
वेला,ʋ eː l ɑː
वेश,ʋ eː ʃ
वेश,ʋ eː ʃ
वेश्या,ʋ eː ʃ j ɑː
वेश्यापन,ʋ eː ʃ j ɑː p ə n
वेष,ʋ eː ʃ
वेष्टन,ʋ eː ʃ ʈ ə n
वेष्टित,ʋ eː ʃ ʈ ɪ t̪
वैंचना,ʋ ɛː n t͡ʃ n ɑː
वै,ʋ ɛː
वैकल्य,ʋ ɛː k ə l j ə
वैकाल,ʋ ɛː k ɑː l
वैकालिक,ʋ ɛː k ɑː l ɪ k
वैकुंठ,ʋ ɛː k ʊ n ʈʰ
वैखरी,ʋ ɛː kʰ ə ɾ iː
वैचारिक,ʋ ɛː t͡ʃ ɑː ɾ ɪ k
वैजयंती,ʋ ɛː d͡ʒ ə j ə n t̪ iː
वैतनिक,ʋ ɛː t̪ ə n ɪ k
वैतरणी,ʋ ɛː t̪ ə ɾ ə n iː
वैताल,ʋ ɛː t̪ ɑː l
वैतालिक,ʋ ɛː t̪ ɑː l ɪ k
वैदिक,ʋ ɛː d̪ ɪ k
वैदिकी,ʋ ɛː d̪ ɪ k iː
वैदूर्य,ʋ ɛː d̪ uː ɾ j ə
वैदेशिक,ʋ ɛː d̪ eː ʃ ɪ k
वैदेही,ʋ ɛː d̪ eː ɦ iː
वैद्य,ʋ ɛː d̪ j ə
वैद्यक,ʋ ɛː d̪ j ə k
वैध,ʋ ɛː d̪ʱ
वैधता,ʋ ɛː d̪ʱ ə t̪ ɑː
वैधर्मिक,ʋ ɛː d̪ʱ ə ɾ m ɪ k
वैधव्य,ʋ ɛː d̪ʱ ə ʋ j ə
वैधानिक,ʋ ɛː d̪ʱ ɑː n ɪ k
वैधृत,ʋ ɛː d̪ʱ ɾ ɪ t̪
वैपरीत्य,ʋ ɛː p ə ɾ iː t̪ j ə
वैभव,ʋ ɛː bʱ ə ʋ
वैभागिक,ʋ ɛː bʱ ɑː g ɪ k
वैभाषिक,ʋ ɛː bʱ ɑː ʃ ɪ k
वैभिन्न्य,ʋ ɛː bʱ ɪ n n j ə
वैमत्य,ʋ ɛː m ə t̪ j ə
वैमनस्य,ʋ ɛː m ə n ə s j ə
वैमात्र,ʋ ɛː m ɑː t̪ ɾ
वैमत्री,ʋ ɛː m ɑː t̪ ɾ iː
वैमात्रेय,ʋ ɛː m ɑː t̪ ɾ eː j ə
वैमानिक,ʋ ɛː m ɑː n ɪ k
वैमानिकी,ʋ ɛː m ɑː n ɪ k iː
वैयक्तिक,ʋ ɛː j ə k t̪ ɪ k
वैयक्तिकता,ʋ ɛː j ə k t̪ ɪ k ə t̪ ɑː
वैयाकरण,ʋ ɛː j ɑː k ə ɾ ə n
वैर,ʋ ɛː ɾ
वैरना,ʋ ɛː ɾ n ɑː
वैरना,ʋ ɛː ɾ n ɑː
वैरा,ʋ ɛː ɾ ɑː
वैरागी,ʋ ɛː ɾ ɑː g iː
वैराग्य,ʋ ɛː ɾ ɑː g j ə
वैरिन,ʋ ɛː ɾ ɪ n
वैरी,ʋ ɛː ɾ iː
वैरूप्य,ʋ ɛː ɾ uː p j ə
वैलक्षण्य,ʋ ɛː l ə k ʃ ə n j ə
वैला,ʋ ɛː l ɑː
वैवर्त,ʋ ɛː ʋ ə ɾ t̪
वैवस्वत,ʋ ɛː ʋ ə s ʋ ə t̪
वैवाहिक,ʋ ɛː ʋ ɑː ɦ ɪ k
वैशाख,ʋ ɛː ʃ ɑː kʰ
वैशिष्ठय,ʋ ɛː ʃ ɪ ʃ ʈʰ j ə
वैशेषिक,ʋ ɛː ʃ eː ʃ ɪ k
वैश्य,ʋ ɛː ʃ j ə
वैषम्य,ʋ ɛː ʃ ə m j ə
वैषयिक,ʋ ɛː ʃ ə j ɪ k
वैष्णव,ʋ ɛː ʃ n ə ʋ
वैष्णवी,ʋ ɛː ʃ n ə ʋ iː
वैसा,ʋ ɛː s ɑː
वों,ʋ oː ~
वो,ʋ oː
वोट,ʋ oː ʈ
वोट,ʋ oː ʈ
वोड्र,ʋ oː ɖ ɾ ə
वोढा,ʋ oː ɖʱ ɑː
वोत-प्रोत,ʋ oː t̪ - p ɾ oː t̪
वोदाल,ʋ oː d̪ ɑː l
व्यंग,ʋ j - ə ŋ g
व्यंग्य,ʋ j - ə ŋ g j ə
व्यंजक,ʋ j - ə n ə k
व्यंजन,ʋ j - ə n ə n
व्यंजना,ʋ j - ə n ə n ɑː
व्यंजित,ʋ j - ə n ɪ t̪
व्यक्त,ʋ j - ə k t̪
व्यक्ति,ʋ j - ə k t̪ ɪ
व्यक्तित्व,ʋ j - ə k t̪ ɪ t̪ ʋ ə
व्यक्तीकरण,ʋ j ə k t̪ iː k ə ɾ ə n
व्यग्र,ʋ j - ə g ɾ ə
व्यग्रता,ʋ j - ə g ɾ ə t̪ ɑː
व्यजन,ʋ j - ə d͡ʒ ə n
व्यतिक्रम,ʋ j - ə t̪ ɪ - k ɾ ə m
व्यतिक्रम,ʋ j - ə t̪ ɪ - k ɾ ə m ə n
व्यतिक्रांत,ʋ j - ə t̪ ɪ - k ɾ ɑː n t̪
व्यतिपात,ʋ j - ə t̪ ɪ - p ɑː t̪
व्यतिरिक्त,ʋ j - ə t̪ ɪ - ɾ ɪ k t̪
व्यतिरेक,ʋ j - ə t̪ ɪ - ɾ eː k
व्यतीत,ʋ j - ə t̪ iː t̪
व्यत्यय,ʋ j - ə t̪ j - ə j
व्यथा,ʋ j ə t̪ʰ ɑː
व्यथित,ʋ j ə t̪ʰ ɪ t̪
व्यभिचार,ʋ j - ə bʱ ɪ - t͡ʃ ɑː ɾ
व्यभिचारी,ʋ j - ə bʱ ɪ - t͡ʃ ɑː ɾ iː
व्यभिचारीपन,ʋ j ə bʱ ɪ t͡ʃ ɑː ɾ iː p ə n
व्यय,ʋ j - ə j
व्ययी,ʋ j - ə j iː
व्यर्थ,ʋ j - ə ɾ t̪ʰ
व्यर्थता,ʋ j - ə ɾ t̪ʰ ə t̪ ɑː
व्यलीक,ʋ j - ə l iː k
व्यवकलन,ʋ j - ə ʋ ə - k ə l ə n
व्यवकलित,ʋ j - ə ʋ ə - k ə l ɪ t̪
व्यवच्छेद,ʋ j - ə ʋ ə - t͡ʃ t͡ʃʰ eː d̪
व्यवधान,ʋ j - ə ʋ ə - d̪ʱ ɑː n
व्यवधायक,ʋ j - ə ʋ ə - d̪ʱ ɑː j ə k
व्यवसाय,ʋ j - ə ʋ ə - s ɑː j
व्यवसायी,ʋ j - ə ʋ ə - s ɑː j iː
व्यवस्था,ʋ j - ə ʋ ə - s t̪ʰ ɑː
व्यवस्थापक,ʋ j - ə ʋ ə - s t̪ʰ ɑː p ə k
व्यवस्थापन,ʋ j - ə ʋ ə - s t̪ʰ ɑː p ə n
व्यवस्थापित,ʋ j - ə ʋ ə - s t̪ʰ ɑː p ɪ t̪
व्यवस्थित,ʋ j - ə ʋ ə - s t̪ʰ ɪ t̪
व्यवस्थिति,ʋ j - ə ʋ ə - s t̪ʰ ɪ t̪ ɪ
व्यवहार,ʋ j - ə ʋ ə - ɦ ɑː ɾ
व्यवहारिक,ʋ j - ə ʋ ə - ɦ ɑː ɾ ɪ k
व्यवहारित,ʋ j - ə ʋ ə - ɦ ɑː ɾ ɪ t̪
व्यवहारी,ʋ j - ə ʋ ə - ɦ ɑː ɾ iː
व्यवहार्य,ʋ j - ə ʋ ə - ɦ ɑː ɾ j ə
व्यवहित,ʋ j - ə ʋ ə - ɦ ɪ t̪
व्यवहूत,ʋ j - ə ʋ ə - ɦ ɾ ɪ t̪
व्यष्टि,ʋ j - ə ʃ ʈ ɪ
व्यसन,ʋ j - ə s ə n
व्यसनी,ʋ j - ə s ə n iː
व्यस्त,ʋ j - ə s t̪
व्यस्तता,ʋ j - ə s t̪ ə t̪ ɑː
व्याकरण,ʋ j - ɑː - k ə ɾ ə n
व्याकरणिक,ʋ j - ɑː - k ə ɾ ə n ɪ k
व्याकरणी,ʋ j - ɑː - k ə ɾ ə n iː
व्याकुल,ʋ j - ɑː k ʊ l
व्याकुलता,ʋ j - ɑː k ʊ l ə t̪ ɑː
व्याकुलित,ʋ j - ɑː k ʊ l ɪ t̪
व्याख्या,ʋ j - ɑː - kʰ j ɑː
व्याख्यान,ʋ j - ɑː - kʰ j ɑː n
व्याख्यायित,ʋ j - ɑː - kʰ j ɑː j ɪ t̪
व्याघात,ʋ j - ɑː - gʱ ɑː t̪
व्याघाती,ʋ j - ɑː - gʱ ɑː t̪ iː
व्याघ्र,ʋ j ɑː gʱ ɾ ə
व्याज,ʋ j - ɑː d͡ʒ
व्याजी,ʋ j - ɑː d͡ʒ iː
व्याध,ʋ j - ɑː d̪ʱ
व्याधि,ʋ j - ɑː d̪ʱ ɪ
व्यापक,ʋ j - ɑː p ə k
व्यापकता,ʋ j - ɑː p ə k ə t̪ ɑː
व्यापन,ʋ j - ɑː p ə n
व्यापना,ʋ j - ɑː p n ɑː
व्यापार,ʋ j - ɑː - p ɑː ɾ
व्यापारिक,ʋ j - ɑː - p ɑː ɾ ɪ k
व्यापारी,ʋ j - ɑː - p ɑː ɾ iː
व्यापी,ʋ j - ɑː p iː
व्याप्त,ʋ j - ɑː p t̪
व्याप्ति,ʋ j - ɑː p t̪ ɪ
व्याप्य,ʋ j - ɑː p j ə
व्याप्यता,ʋ j - ɑː p j ə t̪ ɑː
व्यामोह,ʋ j - ɑː - m oː ɦ
व्यायाम,ʋ j - ɑː - j ɑː m
व्यायामिक,ʋ j - ɑː - j ɑː m ɪ k
व्यायामी,ʋ j - ɑː - j ɑː m iː
व्यारे,ʋ j ɑː ɾ eː
व्याल,ʋ j ɑː l
व्यालिनी,ʋ j ɑː l ɪ n iː
व्याली,ʋ j ɑː l iː
व्यावसायिक,ʋ j ɑː ʋ ə s ɑː j ɪ k
व्यावसायिकता,ʋ j ɑː ʋ ə s ɑː j ɪ k ə t̪ ɑː
व्यावहारिक,ʋ j ɑː ʋ ə ɦ ɑː ɾ ɪ k
व्यावहारिकता,ʋ j ɑː ʋ ə ɦ ɑː ɾ ɪ k ə t̪ ɑː
व्यास,ʋ j - ɑː s
व्युत्क्रम,ʋ j - ʊ t̪ - k ɾ ə m
व्युत्थान,ʋ j - ʊ t̪ - t̪ʰ ɑː n
व्युत्पत्ति,ʋ j - ʊ t̪ - p ə t̪ t̪ ɪ
व्युत्पन्न,ʋ j - ʊ t̪ - p ə n n
व्युत्पादन,ʋ j - ʊ t̪ - p ɑː d̪ ə n
व्यूह,ʋ j - uː ɦ
व्योम,ʋ j oː m
व्रज,ʋ ɾ ə d͡ʒ
व्रज्या,ʋ ɾ ə d͡ʒ j ɑː
व्रण,ʋ ɾ ə n
व्रत,ʋ ɾ ə t̪
व्रतति,ʋ ɾ ə t̪ ə t̪ ɪ
व्रती,ʋ ɾ ə t̪ iː
व्रात,ʋ ɾ ɑː t̪
व्रात्य,ʋ ɾ ɑː t̪ j ə
व्रीड़ा,ʋ ɾ iː ɽ ɑː
व्रीड़ित,ʋ ɾ iː ɽ ɪ t̪
श,ʃ ə
शंकर,ʃ ə ~ k ə ɾ
शंकरा,ʃ ə ~ k ə ɾ ɑː
शंका,ʃ ə ~ k ɑː
शंकित,ʃ ə ~ k ɪ t̪
शंकु,ʃ ə ~ k ʊ
शंख,ʃ ə ~ kʰ
शंखिनी,ʃ ə ~ kʰ ɪ n iː
शंड,ʃ ə n ɖ
शंबुक,ʃ ə m b ʊ k
शंबूक,ʃ ə m b uː k
शंभु,ʃ ə m - bʱ ʊ
शऊर,ʃ ə uː ɾ
-श,- ʃ ə ɦ
शक,ʃ ə k
शक,ʃ ə k
शकट,ʃ ə k ə ʈ
शकर,ʃ ə k ə ɾ
शकरी,ʃ ə k ɾ iː
शकल,ʃ ə k l
शकुत,ʃ ə k ʊ n t̪
शकुन,ʃ ə k ʊ n
शकुनि,ʃ ə k ʊ n ɪ
शकुनी,ʃ ə k ʊ n iː
शक्कर,ʃ ə k k ə ɾ
शक्की,ʃ ə k k iː
शक्त,ʃ ə k t̪
शक्ति,ʃ ə k t̪ ɪ
शक्य,ʃ ə k j ə
शक्र,ʃ ə k ɾ
शक्ल,ʃ ə k l
शख़स,ʃ ə x ʃ
शख़्स,ʃ ə x s
शख़्सियत,ʃ ə x s ɪ j ə t̪
शख़्सी,ʃ ə x s iː
शग़ल,ʃ ə ɣ l
शग़ला,ʃ ə ɣ l ɑː
शगुन,ʃ ə g ʊ n
शगुनिया,ʃ ə g ʊ n ɪ j ɑː
शगून,ʃ ə g uː n
शगूफ़ा,ʃ ə g uː f ɑː
शचि,ʃ ə t͡ʃ ɪ
शची,ʃ ə t͡ʃ iː
शठ,ʃ ə ʈʰ
शठता,ʃ ə ʈʰ ə t̪ ɑː
शत,ʃ ə t̪
शतक,ʃ ə t̪ ə k
शतरंज,ʃ ə t̪ ɾ ə n
शतरंजी,ʃ ə t̪ ɾ ə n iː
शतरंजी,ʃ ə t̪ ɾ ə n iː
शती,ʃ ə t̪ iː
शत्रु,ʃ ə t̪ ɾ ʊ
शत्रुता,ʃ ə t̪ ɾ ʊ t̪ ɑː
शनाख़्त,ʃ ə n ɑː x t̪
शनि,ʃ ə n ɪ
शनिवार,ʃ ə n ɪ ʋ ɑː ɾ
शनिश्चर,ʃ ə n ɪ ʃ t͡ʃ ə ɾ
शानैः,ʃ ə n ɛː ɦ
शनैश्चर,ʃ ə n ɛː ʃ t͡ʃ ə ɾ
शप,ʃ ə p
शपथ,ʃ ə p ə t̪ʰ
शपन,ʃ ə p ə n
शप्त,ʃ ə p t̪
शप्पा,ʃ ə p p ɑː
शफ़क़,ʃ ə f ə q
शफ़क़त,ʃ ə f q ə t̪
शफ़तालू,ʃ ə f t̪ ɑː l uː
शफर,ʃ ə pʰ ə ɾ
शफरी,ʃ ə pʰ ə ɾ iː
शफ़ा,ʃ ə f ɑː
शब,ʃ ə b
शबाब,ʃ ə b ɑː b
शबीह,ʃ ə b iː ɦ
शब्द,ʃ ə b d̪
शब्दायमान,ʃ ə b d̪ ɑː j ə m ɑː n
शंपा,ʃ ə m p ɑː
शम,ʃ ə m
शमन,ʃ ə m ə n
शमशाद,ʃ ə m ʃ ɑː d̪
शमशेर,ʃ ə m ʃ eː ɾ
शमा,ʃ ə m ɑː
शमित,ʃ ə m ɪ t̪
शमी,ʃ ə m iː
शय,ʃ ə j
शयन,ʃ ə j ə n
शय्या,ʃ ə j j ɑː
शर,ʃ ə ɾ
